mse,mae,rmse,precision,recall,diversity,novelty
0.6916998028755188,0.5481240749359131,0.8316848874092102,0.71875,0.2,0.9080610599626803,0.10763556137681007
0.627179741859436,0.5052779912948608,0.7919467091560364,0.7890625,0.2,0.9095587160406496,0.021698173135519028
0.5122573971748352,0.47453004121780396,0.715721607208252,0.828125,0.2,0.9130022712023094,0.032989442348480225
0.2693110704421997,0.41203010082244873,0.5189518928527832,0.828125,0.25,0.9125505831210843,0.09548931941390038
0.46890944242477417,0.4528559446334839,0.6847696304321289,0.84375,0.2,0.9118237674874379,0.06423934176564217
0.37163254618644714,0.46016621589660645,0.6096166968345642,0.8046875,0.25,0.9120424528602349,0.03298947215080261
0.6019785404205322,0.5209028720855713,0.7758727669715881,0.7890625,0.2,0.911512269631857,0.03732301667332649
0.44068393111228943,0.4606684446334839,0.6638402938842773,0.84375,0.2,0.9109306294040455,0.05642687529325485
0.4532843828201294,0.4528559446334839,0.6732639074325562,0.84375,0.25,0.9139857139268116,0.06423937529325485
0.34895434975624084,0.4747871160507202,0.5907235741615295,0.7265625,0.3333333333333333,0.9072447274978859,0.029510635882616043
0.30308353900909424,0.43496549129486084,0.550530195236206,0.7890625,0.25,0.9097597907391934,0.04861433058977127
0.32173311710357666,0.4475659132003784,0.5672152042388916,0.796875,0.3333333333333333,0.9088923586111564,0.04080187529325485
0.5581285357475281,0.5095638632774353,0.7470799684524536,0.7578125,0.2,0.9099492246942456,0.04513562098145485
0.3529830276966095,0.44756585359573364,0.5941237807273865,0.796875,0.25,0.9083027551325958,0.04080193117260933
0.3040875494480133,0.4095075726509094,0.5514413118362427,0.875,0.25,0.9157706272380886,0.12673941999673843
0.4810076355934143,0.46974217891693115,0.6935470700263977,0.8203125,0.25,0.9103696028184158,0.03298938646912575
0.46890944242477417,0.4528559744358063,0.6847695708274841,0.84375,0.2,0.9124166301266748,0.06423937901854515
0.6418005228042603,0.5450996160507202,0.8011245131492615,0.7265625,0.2,0.9066419788221944,0.09982313588261604
0.44068390130996704,0.45109254121780396,0.6638402342796326,0.828125,0.2,0.9132966243518709,0.05642685294151306
0.3469339609146118,0.436728835105896,0.589011013507843,0.8046875,0.25,0.9081779941470394,0.056426871567964554
0.2703152894973755,0.3817843496799469,0.5199185013771057,0.90625,0.25,0.91962724703477,0.17361439391970634
0.5031839609146118,0.46545636653900146,0.7093546390533447,0.8515625,0.2,0.9116447159856164,0.056426845490932465
0.7138763666152954,0.5486263036727905,0.8449119925498962,0.7578125,0.2,0.9075493691511348,0.08419811353087425
0.530907154083252,0.4871305227279663,0.7286337614059448,0.8359375,0.2,0.911618101911841,0.025176919996738434
0.6579271554946899,0.5251888036727905,0.8111270666122437,0.7578125,0.2,0.9080416883365878,0.060760580003261566
0.5954275727272034,0.5204008221626282,0.7716395258903503,0.75,0.2,0.9082566297334961,0.06076059117913246
0.6619563698768616,0.5027555227279663,0.8136069774627686,0.8359375,0.25,0.9143185448528438,0.00955185666680336
0.5157844424247742,0.45764386653900146,0.718181312084198,0.8515625,0.25,0.9125409620748262,0.06423933431506157
0.48755884170532227,0.4606684446334839,0.6982541084289551,0.84375,0.2,0.91181474703477,0.05642688646912575
0.6554048657417297,0.5118291974067688,0.8095707297325134,0.8125,0.2,0.9117159956224358,0.013885598629713058
0.6019788384437561,0.5161150693893433,0.7758730053901672,0.78125,0.2,0.9081258735685794,0.03732310235500336
0.37818390130996704,0.4415167570114136,0.614966630935669,0.8125,0.2,0.9104492009953339,0.056426867842674255
0.49663257598876953,0.46974217891693115,0.7047216296195984,0.8203125,0.2,0.9122373462753148,0.03298937901854515
0.6397801637649536,0.5118292570114136,0.7998625040054321,0.8125,0.2,0.9118237674874379,0.01388564333319664
0.42203444242477417,0.4480680823326111,0.649641752243042,0.8359375,0.2,0.9119690852781028,0.06423937156796455
0.527380645275116,0.48007723689079285,0.7262097597122192,0.7734375,0.25,0.9077110978808478,0.0060730911791324615
0.5616551637649536,0.49267762899398804,0.7494364976882935,0.78125,0.25,0.9104731904793961,0.013885598629713058
0.5677043795585632,0.5083025693893433,0.7534615993499756,0.78125,0.2,0.9083490700701167,0.029510635882616043
0.4376593232154846,0.4576438069343567,0.6615582704544067,0.8515625,0.2,0.915567539671425,0.06423934921622276
0.4089317321777344,0.47100335359573364,0.6394777297973633,0.796875,0.25,0.9106751137410117,0.017364390194416046
0.35953420400619507,0.4337041974067688,0.5996116995811462,0.8125,0.2,0.9122748539805009,0.06423940882086754
0.4588310122489929,0.4836037755012512,0.6773706674575806,0.8046875,0.25,0.9107651190142749,0.009551998227834702
0.4936080574989319,0.4715055227279663,0.7025724053382874,0.8359375,0.25,0.9115827139549619,0.04080190882086754
0.25066137313842773,0.4090055227279663,0.5006609559059143,0.8359375,0.3333333333333333,0.9111070714381884,0.10330197215080261
0.6176036596298218,0.5209029912948608,0.7858775854110718,0.7890625,0.2,0.9090747194219494,0.037323012948036194
0.37515920400619507,0.438492089509964,0.61250239610672,0.8203125,0.2,0.9126764098594591,0.06423946842551231
0.6453269720077515,0.5330013036727905,0.803322434425354,0.7578125,0.2,0.9082369193437333,0.06857302412390709
0.42505893111228943,0.4558805525302887,0.6519654393196106,0.8359375,0.2,0.9140735122676146,0.05642689764499664
0.6609522104263306,0.5330013036727905,0.8129895925521851,0.7578125,0.2,0.9083490700701167,0.06857313215732574
0.2970344126224518,0.4289163649082184,0.5450085997581482,0.8046875,0.25,0.9102591013940386,0.06423934921622276
0.3474360704421997,0.43596968054771423,0.5894370675086975,0.8671875,0.25,0.9142960477295923,0.09548930078744888
0.7113540172576904,0.530478835105896,0.8434180617332458,0.8046875,0.2,0.9116892129048664,0.037323158234357834
0.36608511209487915,0.4389941394329071,0.6050496697425842,0.859375,0.25,0.9166216770158477,0.0876769982278347
0.6055053472518921,0.5040167570114136,0.7781422138214111,0.8125,0.25,0.9094778141565483,0.006073053926229477
0.41245853900909424,0.45411717891693115,0.6422293186187744,0.8203125,0.2,0.9111409948799204,0.04861433431506157
0.24158769845962524,0.3951438069343567,0.49151572585105896,0.8515625,0.25,0.9131637214831116,0.12673933431506157
0.346934050321579,0.4510926604270935,0.5890110731124878,0.828125,0.3333333333333333,0.9114074218524639,0.05642689764499664
0.8534970879554749,0.6075996160507202,0.9238489866256714,0.7265625,0.2,0.9065455231944554,0.16232313215732574
0.45278215408325195,0.4679787755012512,0.6728909015655518,0.8046875,0.2,0.9105858215166529,0.025176916271448135
0.748652994632721,0.5413159132003784,0.8652473092079163,0.796875,0.2,0.909707314831267,0.05294805392622948
0.6115548014640808,0.5100659132003784,0.7820195555686951,0.796875,0.2,0.9097823554214186,0.021698128432035446
