mse,mae,rmse,precision,recall,diversity,novelty
0.6945138573646545,0.5427165627479553,0.8333749771118164,0.71875,0.2,0.8999519780990584,0.1199960708618164
0.6278690099716187,0.4981321692466736,0.7923818826675415,0.7890625,0.2,0.9023956631133211,0.034058570861816406
0.5115950107574463,0.46641862392425537,0.7152587175369263,0.828125,0.2,0.9041794613870456,0.020628929138183594
0.26710328459739685,0.403918594121933,0.5168203115463257,0.828125,0.25,0.904429527918168,0.0831289291381836
0.46747416257858276,0.4443581700325012,0.6837208271026611,0.84375,0.2,0.9051647522020099,0.051878929138183594
0.3709700107574463,0.45263421535491943,0.6090731024742126,0.8046875,0.25,0.9030226641803495,0.020628929138183594
0.603054404258728,0.5137571692466736,0.7765657901763916,0.7890625,0.2,0.9021865035130872,0.049683570861816406
0.43944185972213745,0.4521706700325012,0.6629040837287903,0.84375,0.2,0.9050701832899043,0.044066429138183594
0.45184916257858276,0.4443581700325012,0.6721972823143005,0.84375,0.25,0.9051348025253787,0.051878929138183594
0.34983670711517334,0.46918636560440063,0.5914698839187622,0.7265625,0.3333333333333333,0.9003036277357137,0.041871070861816406
0.30203455686569214,0.4278196692466736,0.5495766997337341,0.7890625,0.25,0.9025610694047692,0.036253929138183594
0.3208772838115692,0.4402269423007965,0.5664603114128113,0.796875,0.3333333333333333,0.9027410262080044,0.028441429138183594
0.5593971014022827,0.5031905174255371,0.7479285597801208,0.7578125,0.2,0.9011321605843908,0.057496070861816406
0.3521272540092468,0.4402269423007965,0.593403160572052,0.796875,0.25,0.9028057096280401,0.028441429138183594
0.3011074364185333,0.4002373218536377,0.5487325191497803,0.875,0.25,0.907377756515412,0.1143789291381836
0.4803450107574463,0.46182379126548767,0.6930692791938782,0.8203125,0.25,0.9037923184041079,0.020628929138183594
0.46747416257858276,0.4443581700325012,0.6837208271026611,0.84375,0.2,0.9051647522020099,0.051878929138183594
0.6444211006164551,0.5394988656044006,0.8027584552764893,0.7265625,0.2,0.9000467996482737,0.1121835708618164
0.43944185972213745,0.442981094121933,0.6629041433334351,0.828125,0.2,0.9043502032541175,0.044066429138183594
0.34569185972213745,0.42919671535491943,0.58795565366745,0.8046875,0.25,0.9032228213606064,0.044066429138183594
0.26617616415023804,0.37174147367477417,0.5159226059913635,0.90625,0.25,0.9103696028184158,0.1612539291381836
0.5019418001174927,0.45676547288894653,0.708478569984436,0.8515625,0.2,0.9056030129869354,0.044066429138183594
0.7161107063293457,0.5422530174255371,0.8462333083152771,0.7578125,0.2,0.9010001306867823,0.0965585708618164
0.530437707901001,0.4788258671760559,0.7283115386962891,0.8359375,0.2,0.9045377459338894,0.012816429138183594
0.6595825552940369,0.5188155174255371,0.8121469020843506,0.7578125,0.2,0.901177686113146,0.0731210708618164
