mse,mae,rmse,precision,recall,diversity,novelty
0.6200836896896362,0.5388773679733276,0.7874539494514465,0.43658536585365854,0.28747474747474744,1.0,0.09650100395083427
0.7189846038818359,0.5867043137550354,0.8479295969009399,0.310515873015873,0.2771080368906456,1.0,0.07811514846980572
0.9389796853065491,0.6510607004165649,0.9690096378326416,0.2552410901467505,0.2486254295532646,1.0,0.04606915824115276
0.6882597208023071,0.5816768407821655,0.8296142220497131,0.4296023192790068,0.29817927170868347,1.0,0.0540127269923687
0.9049466848373413,0.6544916033744812,0.9512868523597717,0.24098039215686273,0.21555555555555556,1.0,0.09515176992863417
0.7556843161582947,0.6156474351882935,0.8693010210990906,0.3012566137566137,0.23316912972085388,1.0,0.0010207369923591614
0.5443412661552429,0.5389798283576965,0.7377948760986328,0.375386887014794,0.2321298087255534,1.0,0.029072832316160202
0.8432856202125549,0.6237836480140686,0.9183058142662048,0.34821121431028557,0.25318181818181823,1.0,0.10505986772477627
1.001187801361084,0.6729073524475098,1.0005937814712524,0.325666301569916,0.24411764705882355,1.0,0.16407528892159462
0.5262750387191772,0.4911433160305023,0.7254481911659241,0.5507162214479288,0.3259395424836601,1.0,0.01263766922056675
0.5354567766189575,0.5139988660812378,0.7317491173744202,0.5714492753623188,0.35892857142857143,1.0,0.08830344304442406
0.6269519329071045,0.5444939136505127,0.7918029427528381,0.27901234567901234,0.25869565217391305,1.0,0.007972963154315948
0.7717621922492981,0.5807833671569824,0.8784999847412109,0.3834311605395942,0.23935483870967741,1.0,0.10340445674955845
0.5938156843185425,0.5401109457015991,0.7705943584442139,0.2976094547408004,0.28162475822050287,1.0,0.12763497233390808
0.7404283285140991,0.6117411851882935,0.8604814410209656,0.3700911350455675,0.29483146067415733,1.0,0.012482620775699615
0.7427960634231567,0.5632604956626892,0.8618561625480652,0.2821536144578313,0.25739750445632803,1.0,0.039766840636730194
0.6195344924926758,0.542740523815155,0.787105143070221,0.2545933734939759,0.21736842105263157,1.0,0.04599942546337843
0.7050409317016602,0.5509852170944214,0.8396671414375305,0.5371658483360611,0.3219440353460972,1.0,0.0020824652165174484
0.5846941471099854,0.5369453430175781,0.7646529078483582,0.47257006559332143,0.2640365448504983,1.0,0.04888416640460491
0.8984718322753906,0.6352975964546204,0.9478775262832642,0.41304888152444075,0.3055614973262032,1.0,0.0964641273021698
0.7404447793960571,0.5893822908401489,0.8604910373687744,0.5020547305501074,0.25331541218637993,1.0,0.045064112171530724
0.6707018613815308,0.5758311748504639,0.8189639449119568,0.48611111111111116,0.3037246963562753,1.0,0.035691073164343834
0.712684690952301,0.5446507930755615,0.8442065715789795,0.5573023802527182,0.3415189125295508,1.0,0.06352274678647518
0.5408794283866882,0.5783568620681763,0.7354450821876526,0.33588652482269504,0.22179675994108985,1.0,0.09606064483523369
0.6899936199188232,0.553737223148346,0.8306585550308228,0.29642857142857143,0.28642350557244173,1.0,0.04510943777859211
0.8836107850074768,0.6137024760246277,0.9400057792663574,0.5729166666666666,0.2742397137745975,1.0,0.11289982870221138
1.0730232000350952,0.707880437374115,1.0358682870864868,0.3297519217330538,0.25297619047619047,1.0,0.19532293640077114
0.6061277389526367,0.546432375907898,0.7785420417785645,0.5400395008528593,0.2966269841269841,1.0,0.03963133506476879
1.0224406719207764,0.6815948486328125,1.0111581087112427,0.2511363636363636,0.2306862745098039,1.0,0.0909696277230978
0.6170092821121216,0.5830786228179932,0.7854993343353271,0.28174603174603174,0.2678486997635934,1.0,0.07610376179218292
