mse,mae,rmse,precision,recall,diversity,novelty
0.1733526885509491,0.3099430203437805,0.4163564145565033,0.33095238095238094,0.36992136304062906,1.0,0.1082594683393836
0.38197028636932373,0.3690639138221741,0.6180374622344971,0.6010001639613051,0.344608195542775,1.0,0.05192818120121956
0.2595878839492798,0.34920239448547363,0.5094977021217346,0.6850198412698413,0.41785714285714287,1.0,0.08015553094446659
0.32796624302864075,0.3653956651687622,0.5726833939552307,0.5880952380952381,0.4101960784313725,1.0,0.00864443276077509
0.4234457015991211,0.4096187949180603,0.6507270336151123,0.3707706766917293,0.4143939393939394,1.0,0.0031088758260011673
0.22667831182479858,0.30178654193878174,0.4761074483394623,0.41775700934579435,0.28214285714285714,1.0,0.11276835948228836
0.34886035323143005,0.3736633360385895,0.5906440019607544,0.5474394886159591,0.35075757575757577,1.0,0.006667910143733025
0.22946041822433472,0.32915064692497253,0.47902023792266846,0.4762467967671989,0.4128787878787879,1.0,0.11643482558429241
0.24036797881126404,0.31299570202827454,0.4902733862400055,0.4766666666666666,0.3649847094801223,1.0,0.0897085964679718
0.24931102991104126,0.35215091705322266,0.49931055307388306,0.5707885304659498,0.45068027210884354,1.0,0.07162453047931194
0.372491717338562,0.39113837480545044,0.6103209853172302,0.33240511551155116,0.2833333333333333,1.0,0.024505464360117912
0.25053882598876953,0.32096344232559204,0.5005385279655457,0.6057692307692308,0.31351351351351353,1.0,0.07517943903803825
0.28214776515960693,0.36836543679237366,0.5311758518218994,0.4129720853858785,0.3753369272237197,1.0,0.10046918503940105
0.35233139991760254,0.36849212646484375,0.5935750603675842,0.4467253176930597,0.3169934640522876,1.0,0.03718264773488045
0.40887707471847534,0.38206031918525696,0.6394349932670593,0.32779255319148937,0.39504716981132076,1.0,0.10959837026894093
0.22430269420146942,0.32784149050712585,0.47360607981681824,0.4898989898989899,0.43169642857142854,1.0,0.08690560795366764
0.20835353434085846,0.3047561049461365,0.45645761489868164,0.711037770443711,0.39724310776942356,1.0,0.10406743362545967
0.4407523274421692,0.3874291777610779,0.6638918519020081,0.5898289828982898,0.3992220650636492,1.0,0.03537812456488609
0.1723519265651703,0.3056859076023102,0.415152907371521,0.6459034792368126,0.43659090909090914,1.0,0.07817573845386505
0.3635287284851074,0.3714958429336548,0.6029334664344788,0.5498737373737373,0.3347918436703483,1.0,0.04171717446297407
0.23075726628303528,0.3398096561431885,0.48037201166152954,0.7232671543016371,0.4152227722772277,1.0,0.07416742108762264
0.3290925920009613,0.3552335202693939,0.5736659169197083,0.445326278659612,0.3011098779134295,1.0,0.08736863918602467
0.39002132415771484,0.42141151428222656,0.6245168447494507,0.5343434343434343,0.32295318127250905,1.0,0.04736861027777195
