mse,mae,rmse,novelty
0.821015477180481,0.6380220651626587,0.9060990214347839,0.04352160729467869
0.9441900253295898,0.6634471416473389,0.9716944098472595,0.012921083718538284
0.660427987575531,0.6058730483055115,0.812667191028595,0.00011671707034111023
0.8087321519851685,0.6299487352371216,0.8992953896522522,0.08181524462997913
0.9544795751571655,0.7003023028373718,0.9769747257232666,0.016542630270123482
1.2584507465362549,0.7869689464569092,1.1218069791793823,0.15974441915750504
0.7711992859840393,0.6285939812660217,0.8781795501708984,0.07283530198037624
0.7354849576950073,0.6308010816574097,0.8576042056083679,0.0006419457495212555
0.9246047735214233,0.6898744106292725,0.9615637063980103,0.08540551923215389
1.214794397354126,0.7539094686508179,1.1021771430969238,0.1473019439727068
0.9900060892105103,0.7353003621101379,0.9949905276298523,0.05552639067173004
0.7457765936851501,0.6659815311431885,0.8635835647583008,0.12394427135586739
1.1091854572296143,0.724600613117218,1.0531786680221558,0.03959685377776623
0.7274692058563232,0.5807956457138062,0.8529181480407715,0.028330162167549133
0.8163158893585205,0.6367670297622681,0.9035019874572754,0.048706598579883575
0.7688708901405334,0.6468659043312073,0.876852810382843,0.03739626519382
1.072283148765564,0.7480342388153076,1.0355110168457031,0.08622076734900475
0.9799274206161499,0.6960614919662476,0.989912748336792,0.04745792597532272
1.2354072332382202,0.7554833889007568,1.111488699913025,0.13995934836566448
0.9891389012336731,0.7031232118606567,0.9945545792579651,0.06559287011623383
0.7433345317840576,0.6510440111160278,0.8621684908866882,0.007932856678962708
0.9335231781005859,0.7025068402290344,0.966189980506897,0.05317559838294983
0.890255331993103,0.697887122631073,0.9435334205627441,0.01897049881517887
0.9020886421203613,0.7162994146347046,0.949783444404602,0.05031747184693813
0.8718276023864746,0.6514429450035095,0.9337170720100403,0.02969317138195038
0.6133394837379456,0.603959858417511,0.7831599712371826,0.08473938517272472
0.9749147891998291,0.7192768454551697,0.9873778223991394,0.018371300771832466
0.6798539161682129,0.6057460904121399,0.8245325684547424,0.08470765501260757
0.7793446779251099,0.6344748139381409,0.8828049898147583,0.03123210370540619
0.8005800247192383,0.636444091796875,0.8947514295578003,0.03431503102183342
0.8800631165504456,0.6795638203620911,0.9381167888641357,0.05965167470276356
0.9175200462341309,0.7154666781425476,0.9578726291656494,0.06352581456303596
