mse,mae,rmse,precision,recall,diversity,novelty
1.0016465187072754,0.7751918435096741,1.000822901725769,0.4531179123766486,0.3102204629171478,1.0,0.0624067522585392
0.9767031669616699,0.7805143594741821,0.9882829189300537,0.43978288633461055,0.2564445006179081,1.0,0.015454419888556004
1.1408905982971191,0.8354579210281372,1.068124771118164,0.5758275206087508,0.29769341769341773,1.0,0.008368710987269878
1.1339541673660278,0.8835867643356323,1.0648728609085083,0.5193955888771921,0.272116902378304,1.0,0.14286601170897484
1.246385097503662,0.9224576950073242,1.1164162158966064,0.30919416817359857,0.21909722222222222,1.0,0.03948654420673847
1.2173922061920166,0.8663524389266968,1.1033549308776855,0.33934386973180075,0.2576275576275576,1.0,0.04272161237895489
1.0440123081207275,0.818213939666748,1.0217691659927368,0.48645261984392424,0.3225705288863184,1.0,0.030903526581823826
1.153943419456482,0.8384902477264404,1.0742175579071045,0.5066666666666666,0.28295306001188353,1.0,0.00868096761405468
1.3862491846084595,0.9136044383049011,1.1773909330368042,0.44793406593406593,0.2463003663003663,1.0,0.10120437480509281
1.264298439025879,0.8891942501068115,1.1244102716445923,0.42875457875457884,0.2649159663865546,1.0,0.041426027193665504
1.0958027839660645,0.8225517272949219,1.0468060970306396,0.5028789293495176,0.2875533661740558,1.0,0.05783290043473244
1.143371820449829,0.888288140296936,1.0692856311798096,0.31232897537245363,0.24000000000000005,1.0,0.11349806934595108
1.0829232931137085,0.8287128210067749,1.0406360626220703,0.4853195508727118,0.3159583519928348,1.0,0.021383436396718025
1.046567678451538,0.7726647853851318,1.0230189561843872,0.507215929850201,0.30160377358490564,1.0,0.04609814938157797
1.0708123445510864,0.7923538088798523,1.03480064868927,0.35849186655638265,0.25645421245421246,1.0,0.04103452060371637
0.8971500396728516,0.7499721050262451,0.9471800923347473,0.31585677749360613,0.24590643274853802,1.0,0.033245629630982876
1.0551979541778564,0.808897852897644,1.0272282361984253,0.589952718676123,0.31132664437012264,1.0,0.1284943614155054
1.1743097305297852,0.8654724359512329,1.0836557149887085,0.47443678160919545,0.2752249286811499,1.0,0.12883477192372084
1.3402681350708008,0.8973159790039062,1.157699465751648,0.5047875816993465,0.3437439265462835,1.0,0.008034328930079937
1.3461127281188965,0.9211667776107788,1.160220980644226,0.34644612144612147,0.3154708805913088,1.0,0.11135894153267145
1.2423107624053955,0.8362926244735718,1.1145899295806885,0.33453193189501507,0.2732958098811757,1.0,0.14105462096631527
1.1599774360656738,0.83597731590271,1.0770224332809448,0.5293233082706766,0.32068306010928965,1.0,0.018637309782207012
0.9984420537948608,0.8185701370239258,0.9992207288742065,0.33702033598585324,0.26350583949426765,1.0,0.14889085106551647
1.1502645015716553,0.8614338636398315,1.0725038051605225,0.3363728470111449,0.2540719696969697,1.0,0.14276720955967903
1.072819471359253,0.795461893081665,1.0357699394226074,0.5006172839506172,0.26320030846346637,1.0,0.024018246680498123
1.2781822681427002,0.8711166381835938,1.130567193031311,0.4807079624495355,0.28544774369077774,1.0,0.09999755956232548
0.9654547572135925,0.750213086605072,0.982575535774231,0.5134996582365003,0.3185416207088034,1.0,0.04329811129719019
0.9797248840332031,0.8063938617706299,0.9898105263710022,0.4234903381642512,0.29640369209334727,1.0,0.18184003327041864
1.2496168613433838,0.8874226212501526,1.117862582206726,0.3716985645933014,0.2864957264957265,1.0,0.1280787531286478
1.301142692565918,0.8866084814071655,1.1406763792037964,0.45313284864507597,0.2664316239316239,1.0,0.035617378540337086
0.952881932258606,0.7873924970626831,0.9761567711830139,0.4371091871091871,0.3085646920129679,1.0,0.010733731091022491
1.0077381134033203,0.7791957855224609,1.0038615465164185,0.39259632772291,0.3242690058479532,1.0,0.03251208085566759
1.1191790103912354,0.8280975222587585,1.0579125881195068,0.5681318681318681,0.33773618538324424,1.0,0.0015137745067477226
1.3739666938781738,0.9063405990600586,1.1721632480621338,0.36545893719806766,0.27595238095238095,1.0,0.026247544214129448
1.144302248954773,0.8364065885543823,1.0697206258773804,0.5109477124183006,0.3380065359477124,1.0,0.16376112680882215
1.170653223991394,0.8720313310623169,1.0819672346115112,0.3381032547699214,0.2528616852146264,1.0,0.029552007094025612
1.1509932279586792,0.8523991703987122,1.0728435516357422,0.35002131287297533,0.2773374258975053,1.0,0.06444994173943996
1.100739598274231,0.8182013034820557,1.049161434173584,0.4422348484848485,0.2993650793650794,1.0,0.06950435508042574
0.8584365844726562,0.7180137634277344,0.9265185594558716,0.3265909090909091,0.2842857142857143,1.0,0.06243930384516716
1.2280012369155884,0.84737229347229,1.108152151107788,0.4899095840867993,0.3679485199485199,1.0,0.12902341037988663
1.3523526191711426,0.9278599619865417,1.1629070043563843,0.3699972866639534,0.28795698924731183,1.0,0.11564916372299194
